Eloquence Software Synthesizer Voice profile,,,,
,deu-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,deu-Voice Aliases.GraphicVoice,text,Grandma,
,deu-Voice Aliases.HighlightVoice,text,Bobby,
,deu-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,deu-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,deu-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,deu-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,deu-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,deu-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,deu-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,deu-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,deu-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,deu-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,deu-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,deu-Voice Aliases.LinkVoice,text,Shelly,
,deu-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,deu-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,deu-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,esm-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,esm-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,esm-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,esm-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,esm-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.BoldVoice,text,Rocko,
,esm-Voice Aliases.UnderlineVoice,text,Shelly,
,esm-Voice Aliases.ItalicVoice,text,Grandpa,
,esm-Voice Aliases.StrikeoutVoice,text,Sandy,
,esm-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,esm-Voice Aliases.GraphicVoice,text,Grandma,
,esm-Voice Aliases.HighlightVoice,text,Bobby,
,esm-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,esm-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,esm-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,esm-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,esm-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,esm-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,esm-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,esm-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,esm-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,esm-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,esm-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,esm-Voice Aliases.LinkVoice,text,Shelly,
,esm-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,esm-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,esm-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,esn-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,esn-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,esn-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,esn-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,esn-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.BoldVoice,text,Rocko,
,esn-Voice Aliases.UnderlineVoice,text,Shelly,
,esn-Voice Aliases.ItalicVoice,text,Grandpa,
,esn-Voice Aliases.StrikeoutVoice,text,Sandy,
,esn-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,esn-Voice Aliases.GraphicVoice,text,Grandma,
,esn-Voice Aliases.HighlightVoice,text,Bobby,
,esn-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,esn-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,esn-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,esn-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,esn-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,esn-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,esn-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,esn-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,esn-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,esn-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,esn-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,esn-Voice Aliases.LinkVoice,text,Shelly,
,esn-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,esn-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,esn-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,ptb-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,ptb-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,ptb-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,ptb-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,ptb-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.BoldVoice,text,Rocko,
,ptb-Voice Aliases.UnderlineVoice,text,Shelly,
,ptb-Voice Aliases.ItalicVoice,text,Grandpa,
,ptb-Voice Aliases.StrikeoutVoice,text,Sandy,
,ptb-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,ptb-Voice Aliases.GraphicVoice,text,Grandma,
,ptb-Voice Aliases.HighlightVoice,text,Bobby,
,ptb-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,ptb-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,ptb-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,ptb-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,ptb-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,ptb-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,ptb-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,ptb-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,ptb-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,ptb-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,ptb-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,ptb-Voice Aliases.LinkVoice,text,Shelly,
,ptb-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,ptb-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,ptb-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,fin-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,fin-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,fin-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,fin-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,fin-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,fin-Voice Aliases.BoldVoice,text,Rocko,
,fin-Voice Aliases.UnderlineVoice,text,Shelly,
,fin-Voice Aliases.ItalicVoice,text,Grandpa,
,fin-Voice Aliases.StrikeoutVoice,text,Sandy,
,fin-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,fin-Voice Aliases.GraphicVoice,text,Grandma,
,fin-Voice Aliases.HighlightVoice,text,Bobby,
,fin-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,fin-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,fin-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,fin-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,fin-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,fin-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,fin-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,fin-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,fin-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,fin-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,fin-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,fin-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,fin-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,fin-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,fin-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,fin-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,fin-Voice Aliases.LinkVoice,text,Shelly,
,fin-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,fin-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,fin-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,fin-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,fin-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,fin-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,"Language Aliases.en,enu,en-us,us-en,en-au,en-nz,en-ie,en-ca",text;text;...,American English;English,"language aliases note in order to support language detection on the internet we need ISO 639/3066 language codes as well as Microsoft and other variants of these syntax: alias,...=language string1|voice1;languageString2|voice2;...;languageStringN|voiceN note both language string and voice are optional however the | must be included even if no language string is present"
,"Language Aliases.eng,en-gb,en-uk",text;text;...,British English;English,
,"Language Aliases.es,esl,esn,esp,spa",text;text;...,Castilian Spanish;Spanish,
,"Language Aliases.esm,esu",text;text;...,Latin American Spanish;Spanish,
,"Language Aliases.est,es-us",text;text;...,Latin American Spanish;Spanish,
,"Language Aliases.fr,fra,fre",text;text;...,French,
,"Language Aliases.frc,fr-ca",text;text;...,French Canadian,
,"Language Aliases.de,deu,ger",text;text;...,German,
,"Language Aliases.it,ita",text;text;...,Italian,
,"Language Aliases.pt,ptb,pt-br,por",text;text;...,Brazilian Portuguese,
,"Language Aliases.fi,fin",text;text;...,Finnish,
,Synth Lang String to LCID.American English,Hex,0x0409,"When a Synthesizer does not return a full language name which can be mapped to a unique LCID, use a section of the below format to map the synth specific language string to the appropriate LCID. Format is synth specific language name=LCID."
,Synth Lang String to LCID.British English,Hex,0x0809,
,Synth Lang String to LCID.French,Hex,0x040C,
,Synth Lang String to LCID.French Canadian,Hex,0x0C0C,
,Synth Lang String to LCID.German,Hex,0x0407,
,Synth Lang String to LCID.Italian,Hex,0x0410,
,Synth Lang String to LCID.Castilian Spanish,Hex,0x0C0A,
,Synth Lang String to LCID.Latin American Spanish,Hex,0x080A,
,Synth Lang String to LCID.Brazilian Portuguese,Hex,0x0416,
,Synth Lang String to LCID.Finnish,Hex,0x040B,
,ita-UI Voice Alias translation.PCCursorVoice,text,VoceCursorePC,Note: Use this section to localize Voice Alias names. The key (left side) is the internal name. The value (right side) is the display name.
,ita-UI Voice Alias translation.MessageVoice,text,VoceMessaggi,
,ita-UI Voice Alias translation.HeaderVoice,text,VocePerIntestazioni,
,ita-UI Voice Alias translation.JAWSCursorVoice,text,VoceCursoreJaws,
,ita-UI Voice Alias translation.NormalVoice,text,VoceNormale,
,ita-UI Voice Alias translation.BoldVoice,text,VocePerGrassetto,
,ita-UI Voice Alias translation.UnderlineVoice,text,VocePerSottolineato,
,ita-UI Voice Alias translation.ItalicVoice,text,VocePerCorsivo,
,ita-UI Voice Alias translation.StrikeoutVoice,text,VocePerBarrato,
,ita-UI Voice Alias translation.DoubleStrikeoutVoice,text,VocePerDoppioBarrato,
,ita-UI Voice Alias translation.GraphicVoice,text,VocePerGrafici,
,ita-UI Voice Alias translation.HighlightVoice,text,VocePerEvidenziato,
,ita-UI Voice Alias translation.HugeTextVoice,text,VocePerTestiCorposi,
,ita-UI Voice Alias translation.LargeTextVoice,text,VocePerTestiGRandi,
,ita-UI Voice Alias translation.SmallTextVoice,text,VocePerBreviTesti,
,ita-UI Voice Alias translation.TinyTextVoice,text,VocePerTestiBrevissimi,
,ita-UI Voice Alias translation.SuperscriptVoice,text,VocePerApici,
,ita-UI Voice Alias translation.SubscriptVoice,text,VocePerPedici,
,ita-UI Voice Alias translation.ShadowVoice,text,VocePerOmbreggiatura,
,ita-UI Voice Alias translation.EmbossVoice,text,VocePerInRilievo,
,ita-UI Voice Alias translation.EngraveVoice,text,VocePerIncassato,
,ita-UI Voice Alias translation.OutlineVoice,text,VocePerContorno,
,ita-UI Voice Alias translation.HeadingLevel1Voice,text,VocePerLivelloIntestazione1,
,ita-UI Voice Alias translation.HeadingLevel2Voice,text,VocePerLivelloIntestazione2,
,ita-UI Voice Alias translation.HeadingLevel3Voice,text,VocePerLivelloIntestazione3,
,ita-UI Voice Alias translation.HeadingLevel4Voice,text,VocePerLivelloIntestazione4,
,ita-UI Voice Alias translation.HeadingLevel5Voice,text,VocePerLivelloIntestazione5,
,ita-UI Voice Alias translation.HeadingLevel6Voice,text,VocePerLivelloIntestazione6,
,ita-UI Voice Alias translation.LinkVoice,text,VocePerLink,
,ita-UI Voice Alias translation.SpellingVoice,text,VocePerSpelling,
,ita-UI Voice Alias translation.QuotationVoice,text,VocePerVirgolettati,
,ita-UI Voice Alias translation.SingleCapVoice,text,VocePerSingolaMaiuscola,
,ita-UI Voice Alias translation.AllCapsVoice,text,VocePerTutteMaiuscole,
,ita-UI Voice Alias translation.SmallCapsVoice,text,VocePerMaiuscoletto,
,ita-UI Voice Alias translation.KeyboardVoice,text,VocePerTastiera,
,ita-UI Voice Alias translation.MenuAndDialogVoice,text,VocePerMenuFinestreDiDialogo,
,ita-UI Voice Alias translation.GlobalVoice,text,VoceInGenerale,
,ita-UI Voice Alias translation.OCRVoice,text,Voce OCR,
,enu-UI Voice Alias translation.PCCursorVoice,text,PCCursorVoice,Note: Use this section to localize Voice Alias names. The key (left side) is the internal name. The value (right side) is the display name.
,enu-UI Voice Alias translation.MessageVoice,text,MessageVoice,
,enu-UI Voice Alias translation.HeaderVoice,text,HeaderVoice,
,enu-UI Voice Alias translation.JAWSCursorVoice,text,JAWSCursorVoice,
,enu-UI Voice Alias translation.NormalVoice,text,NormalVoice,
,enu-UI Voice Alias translation.BoldVoice,text,BoldVoice,
,enu-UI Voice Alias translation.UnderlineVoice,text,UnderlineVoice,
,enu-UI Voice Alias translation.ItalicVoice,text,ItalicVoice,
,enu-UI Voice Alias translation.StrikeoutVoice,text,StrikeoutVoice,
,enu-UI Voice Alias translation.DoubleStrikeoutVoice,text,DoubleStrikeoutVoice,
,enu-UI Voice Alias translation.GraphicVoice,text,GraphicVoice,
,enu-UI Voice Alias translation.HighlightVoice,text,HighlightVoice,
,enu-UI Voice Alias translation.HugeTextVoice,text,HugeTextVoice,
,enu-UI Voice Alias translation.LargeTextVoice,text,LargeTextVoice,
,enu-UI Voice Alias translation.SmallTextVoice,text,SmallTextVoice,
,enu-UI Voice Alias translation.TinyTextVoice,text,TinyTextVoice,
,enu-UI Voice Alias translation.SuperscriptVoice,text,SuperscriptVoice,
,enu-UI Voice Alias translation.SubscriptVoice,text,SubscriptVoice,
,enu-UI Voice Alias translation.ShadowVoice,text,ShadowVoice,
,enu-UI Voice Alias translation.EmbossVoice,text,EmbossVoice,
,enu-UI Voice Alias translation.EngraveVoice,text,EngraveVoice,
,enu-UI Voice Alias translation.OutlineVoice,text,OutlineVoice,
,enu-UI Voice Alias translation.HeadingLevel1Voice,text,HeadingLevel1Voice,
,enu-UI Voice Alias translation.HeadingLevel2Voice,text,HeadingLevel2Voice,
,enu-UI Voice Alias translation.HeadingLevel3Voice,text,HeadingLevel3Voice,
,enu-UI Voice Alias translation.HeadingLevel4Voice,text,HeadingLevel4Voice,
,enu-UI Voice Alias translation.HeadingLevel5Voice,text,HeadingLevel5Voice,
,enu-UI Voice Alias translation.HeadingLevel6Voice,text,HeadingLevel6Voice,
,enu-UI Voice Alias translation.LinkVoice,text,LinkVoice,
,enu-UI Voice Alias translation.SpellingVoice,text,SpellingVoice,
,enu-UI Voice Alias translation.QuotationVoice,text,QuotationVoice,
,enu-UI Voice Alias translation.SingleCapVoice,text,SingleCapVoice,
,enu-UI Voice Alias translation.AllCapsVoice,text,AllCapsVoice,
,enu-UI Voice Alias translation.SmallCapsVoice,text,SmallCapsVoice,
,enu-UI Voice Alias translation.KeyboardVoice,text,KeyboardVoice,
,enu-UI Voice Alias translation.MenuAndDialogVoice,text,MenuAndDialogVoice,
,enu-UI Voice Alias translation.GlobalVoice,text,GlobalVoice,
,enu-UI Voice Alias translation.OCRVoice,text,OCR Voice,
,default-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,default-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,default-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,default-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,