AT,Category,Setting Name,Value Type/Range,Description,
ZoomText - Magnification Features,Magnifier Toolbar,Focus,,"Selects focus enhancement settings. Focus enhancements make it easy to locate and follow the control focus when you tab and arrow key through menus, dialogs and other application controls.   You can choose from a variety of preset focus enhancement schemes or configure your own custom focus enhancements.",
ZoomText - Magnification Features,Magnifier Toolbar,Desktop ,,"Activates the Desktop Finder. The Desktop Finder helps you find and launch programs on the desktop, system tray and quick launch bar. In addition, the Desktop Finder also helps you find and open items in the Control Panel, Programs menu and My Documents folder.",
ZoomText - Magnification Features,Magnifier Toolbar,Web,,"Web Finder helps you search, skim, navigate and read webpages for topics of interest.",
ZoomText - Magnification Features,Magnifier Toolbar,Text  ,,Activates the Text Finder. The Text Finder helps you locate words or phrases within the active application window or anywhere on the entire screen.,
ZoomText - Magnification Features,Magnifier Toolbar,Magnification Tab - Power,,"Sets the magnification level. Magnification levels include: 1x to 8x in steps of 1, 10x to 16x in steps of 2, 20x to 36x in steps of 4, and fractional powers of 1.25x, 1.5x, 1.75x and 2.5x.",
ZoomText - Magnification Features,Magnifier Toolbar,Magnification Tab - Display whole powers only,,Excludes fractional magnification levels from the Power spinbox.,
ZoomText - Magnification Features,Mouse Wheel Zooming,Magnification Tab - Enable wheel zooming,,Enables use of the mouse wheel to change the magnification level.,
ZoomText - Magnification Features,Mouse Wheel Zooming,Magnification Tab - Modifier Keys,,Selects the key combination to be used for mouse wheel zooming. The selected keys must be held down while rotating the mouse wheel in order to change the magnification level.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Full,,Displays a zoom window that occupies the entire screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Overlay,,Displays a zoom window that lies on top of the normal screen and can be sized and moved to occupy any area.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Lens,,"Displays a zoom window that moves over the normal screen like a magnifying glass, displaying what is directly beneath it. The lens automatically follows as you move the mouse pointer, type text and navigate through your programs.",
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Line,,"Displays a zoom window that moves up and down the screen like a magnifying ruler, displaying what is directly beneath it. The line automatically follows as you move the mouse pointer, type text and navigate through your programs.",
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Top,,Displays a zoom window that occupies the top half of the screen. The height of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Bottom,,Displays a zoom window that occupies the bottom half of the screen. The height of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Left,,Displays a zoom window that occupies the left side of the screen. The width of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Docked Right,,Displays a zoom window that occupies the right half of the screen. The width of the zoom window can be adjusted to occupy a larger or smaller portion of the screen.,
ZoomText - Magnification Features,Zoom Windows,Select a Zoom Window Tab - Set Line window height to cursor height,,"As the text cursor moves through larger or smaller text, the height of the Line window increases or decreases, so that only the current line of text is displayed.",
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Enable freeze window,,Enables the Freeze window (when the zoom window type is set to Full).,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Use full zoom magnification level,,Sets the Freeze window to use the same magnification level as the Full zoom window.,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Use the magnification level below,,Allows the Freeze window to use its own magnification level (set using the Power spinbox).,
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - Power,,"Sets the Freeze window's magnification level. Magnification levels include: 1x to 8x in steps of 1, 10x to 16x in steps of 2, 20x to 36x in steps of 4x, and fractional powers of 1.25x, 1.5x, 1.75x and 2.5x.",
ZoomText - Magnification Features,Freeze Window,Freeze Window Tab - New Freeze Window,,Activates the Freeze Tool.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Enable view locator,,Enables the display of the view locator.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Locator Type,,"Selects the type of view locator that is displayed: Block, Inverted Block, Frame or Cross.",
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Color,,Selects the color that the view locator will appear in.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Transparency,,Sets the level of transparency for the view locator. The transparency level controls the amount of the desktop image that is visible through the view locator.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Blink view locator,,Turns locator blinking on or off.,
ZoomText - Magnification Features,Using View Mode and the View Locator,View Locator Tab - Blink Rate,,"Sets the blink rate for the view locator in seconds (from .5 to 5, in increments of .5).",
ZoomText - Magnification Features,Dual Monitor Support settings,Enable Dual Monitor,,Enables ZoomText's dual monitor support.,
ZoomText - Magnification Features,Dual Monitor Support settings,Primary Span,,Primary Span displays a Full magnified view of your primary desktop that spans across the primary and secondary monitors. This mode doubles the width of your magnified view. With twice as much area in view scrolling is reduced and productivity is increased.,
ZoomText - Magnification Features,Dual Monitor Support settings,Primary Clone,,"Primary Clone displays a magnified view of your primary desktop on both the primary and secondary monitors. This mode is useful when two or more users need to see the same magnified view, but are not seated so that they can share a single monitor.",
ZoomText - Magnification Features,Dual Monitor Support settings,Primary with 1x,,Primary with 1x displays a magnified view of your primary desktop on the primary monitor and a 1x view of your primary desktop on your secondary monitor. This mode is useful when a low-vision user and normal-sighted user are working together on the same system. The low-vision user can zoom-in and out as needed on the magnified screen while the normal-sighted user views the unmagnified (1x) screen.,
ZoomText - Magnification Features,Dual Monitor Support settings,Advanced,,Displays settings for identifying and selecting a secondary display device and allows you to open and adjust settings in the Windows Display Properties dialog (sometimes used to resolve compatibility issues).,
ZoomText - Magnification Features,Screen Enhancements - Color,Normal,,Disables all color enhancements., 
ZoomText - Magnification Features,Screen Enhancements - Color,Scheme:,,Activates a preset color scheme (selected in the neighboring combo box)., 
ZoomText - Magnification Features,Screen Enhancements - Color,Custom...,,"Activates the Custom Settings, allowing you to create your own custom color scheme.", 
ZoomText - Magnification Features,Screen Enhancements - Color,Customize,,Activates and configures the Custom Settings to match the selected preset color scheme.   This allows you to use a preset scheme as the starting point for a custom scheme., 
ZoomText - Magnification Features,Screen Enhancements - Color,Effect,,"Selects the type of color effect and activates the associated settings.

None   No filtering is applied. Dyed   Transforms all screen colors to a single hue while preserving their light and dark values. When the Dye effect is selected, a Color combo box appears, allowing you to select the dye color.

Two-Color   Transforms all screen colors to a two-color spectrum. When the Two-Color effect is selected, Foreground Color and Background Color combo boxes appear, allowing you to define the two-color spectrum.

Replace Color   Replaces one screen color with another. When the Replace Color effect is selected, Replace and With combo boxes appear, allowing you to choose the color to replace and the replacement color.

Remove Color   Removes a selected color from the screen. When the Remove Color effect is selected, a Color to Remove combo box appears allowing you to choose the color that you want to remove. A Bandwidth slider also appears, allowing you to expand the range of color removal to hues close to the selected color.

Black and White   Converts all screen colors to equivalent shades of gray.

Reverse Video   Inverts all screen colors.", 
ZoomText - Magnification Features,Screen Enhancements - Color,Invert Brightness,,Inverts the brightness of all screen colors. Light colors become dark and vice-versa.,
ZoomText - Magnification Features,Screen Enhancements - Color,Color Level,,"Adjusts the amount of color saturation on the screen. At 0%, color is completely removed and the screen resembles black and white television.   At 100%, colors are intensified.  ",
ZoomText - Magnification Features,Screen Enhancements - Color,Bandwidth,,Increases the range of color replacement or color removal to include all shades of the selected color.,
ZoomText - Magnification Features,Screen Enhancements - Color,Brightness,,Increases or decreases the brightness of the screen image from 0% to 100%. Normal brightness is 50%.,
ZoomText - Magnification Features,Screen Enhancements - Color,Contrast,,Increases or decreases the contrast of the screen image from 0% to 100%. Normal contrast is 50%.,
ZoomText - Magnification Features,Screen Enhancements - Color,Restore Normal Settings,,Restores Brightness and Contrast to 50% (normal).,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Normal,,Disables all pointer enhancements.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Scheme,,Enables a preset pointer scheme (selected in the neighboring combo box).,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Custom...,,"Activates the Custom Settings, allowing you to create your own custom pointer scheme.",
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Customize,,Activates and configures the Custom Settings to match the selected preset pointer scheme.   This allows you to use a preset scheme as the starting point for a custom scheme.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Use ZoomText smooth pointers,,Enables ZoomText’s smooth-edge mouse pointers in the custom pointer scheme.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Size,,"Sets the size of the enhanced mouse pointer to standard (1x), large (2x) or extra-large (4x) sizes.  ",
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Color (pointer),,Sets the color for the mouse pointer.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Type,,"Circle   Displays a circle that is centered over the pointer's hot spot.

Sonar   Displays animated circles that radiate inward toward the pointer.

Full Cross   Displays a set of crosshairs that extend across the entire zoom window and intersect the pointer.

Crosshairs   Displays a set of crosshairs that are centered over the pointer's hot spot.",
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Color (locator),,Sets the color for the pointer locator.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Thickness,,"Sets the thickness of the pointer locator: Thin, Medium or Thick.",
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Transparency,,Sets the level of transparency for the pointer locator. The transparency level controls the amount of the desktop image that is visible through the pointer locator.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Always,,The pointer locator is always displayed.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,When pointer is stationary,,The pointer locator is only displayed when the pointer is stationary (not moving).,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,When pointer is moving,,The pointer locator is only displayed when the pointer is moving.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,When modifier key is pressed,,The pointer locator is only displayed when the pointer modifier keys are held down.,
ZoomText - Magnification Features,Screen Enhancements - Pointer Enhancements,Modifier Keys,,"Selects a key or combination of keys that, when pressed, will display the pointer locator.  ",
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Normal,,Disables all cursor enhancements.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Scheme,,Activates a preset cursor scheme (selected in the neighboring combo box).,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Custom...,,"Activates the Custom Settings, allowing you to create your own custom cursor scheme.",
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Customize,,Activates and configures the Custom Settings to match the selected preset cursor scheme.   This allows you to use a preset scheme as the starting point for a custom scheme.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Preview,,When you click in the Preview box a text cursor appears with the selected cursor enhancement settings.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Type,,"Wedges   Displays triangular wedges above and below the cursor.

Circle   Displays a circle around the cursor.

Frame   Displays a rectangular frame around the cursor.",
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Size,,"Sets the size of the cursor locator: Thin, Medium or Thick.",
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Color,,Sets the color for the cursor locator.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Transparency,,Sets the level of transparency for the cursor locator. The transparency level controls the amount of the desktop image that is visible through the cursor locator.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Always,,The cursor locator is always displayed.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,When cursor is stationary,,The cursor locator is only displayed when the cursor is stationary (not moving).,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,When cursor is moving,,The cursor locator is only displayed when the cursor is moving.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,When modifier key is pressed,,The cursor locator is only displayed when the cursor modifier keys are held down.,
ZoomText - Magnification Features,Screen Enhancements - Cursor Enhancements,Modifier Keys,,"Selects a key or combination of keys that, when pressed, will display the cursor locator.  ",
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Normal,,Disables all focus enhancements.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Scheme,,Activates a preset focus scheme (selected in the neighboring combo box).,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Custom...,,"Activates the Custom Settings, allowing you to create your own custom focus scheme.",
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Customize,,Activates and configures the Custom Settings to match the selected preset focus scheme. This allows you to use a preset scheme as the starting point for a custom scheme.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Type,,"Circle   Displays a circle that is centered over the pointer's hot spot.

Sonar   Displays animated circles that radiate inward toward the pointer.

Full Cross   Displays a set of crosshairs that extend across the entire zoom window and intersect the pointer.

Crosshairs   Displays a set of crosshair",
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Color,,Sets the color for the focus locator.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Thickness,,Sets the thickness of the focus locator.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Transparency,,Sets the level of transparency for the focus locator. The transparency level controls the amount of the desktop image that is visible through the focus locator.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Margin,,Increases or decreases the space between the control with focus and the focus locator.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Continuously,,Enables continuous display of the focus locator (when a control has focus).,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Briefly,,Enables brief display of the focus locator. When a control receives focus the locator is displayed for 1.5 seconds.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,When modifier key is pressed,,The focus locator is only displayed when the focus modifier keys are held down.,
ZoomText - Magnification Features,Screen Enhancements - Focus Enhancements,Modifier Keys,,"Selects a key or combination of keys that, when pressed, will display the focus locator.",
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,xFont,,Displays print quality text in the magnified view.,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Standard,,Displays medium quality text in the magnified view. Use this setting when faster system performance is required.,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,None,,Disables all smoothing of text and graphics. Use this setting when you want to view the magnified screen without any font enhancements.,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Smooth edges *,,Text character edges are smoothed.,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Bold *,,Text characters are bolded.,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Condense by *,,"Each text character is condensed, increasing inter-character and line spacing.",
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Width *,,Condenses the width of text characters from 0% (no condensing) to 100% (maximum condensing).,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Height *,,Condenses the height of text characters from 0% (no condensing) to 100% (maximum condensing). *,
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Exclude Applications... *,,"Displays settings for excluding the use of xFont in problem applications. See ""Excluding xFont in Problem Applications"" below.",
ZoomText - Magnification Features,Screen Enhancements - Font Enhancements,Font *,,Displays a list of fonts available on your system.  The selected font is displayed in the sample text box according to the selected enhancement type and xFont options.,
ZoomText - Magnification Features,Finders - Desktop Finder,Desktop Items,,Displays a list of desktop items - according to the selections under Show These Items and Sort Items By.,
ZoomText - Magnification Features,Finders - Desktop Finder,Search For,,"Provides a place for you to type the information you want to search for; or you can select a recent entry from the combo box list. As you type, the Desktop Items list is automatically filtered to display only items that contain the search string.",
ZoomText - Magnification Features,Finders - Desktop Finder,Desktop,,"Programs, shortcuts and folders located on the Windows desktop are shown in the Desktop Items listbox.",
ZoomText - Magnification Features,Finders - Desktop Finder,Quick Launch,,Shortcuts located in the Quick Launch toolbar are shown in the Desktop Items listbox.,
ZoomText - Magnification Features,Finders - Desktop Finder,Tray,,Utilities located in the system tray are shown in the Desktop Items listbox.,
ZoomText - Magnification Features,Finders - Desktop Finder,Programs menu,,Items in the Start � Programs menu are shown in the Desktop Items listbox.,
ZoomText - Magnification Features,Finders - Desktop Finder,My Documents folder,,Items in the My Documents folder are shown in the Desktop Items listbox.,
ZoomText - Magnification Features,Finders - Desktop Finder,Control Panel,,Applets in the Control Panel are shown in the Desktop Items listbox.,
ZoomText - Magnification Features,Finders - Desktop Finder,Type,,"The Desktop Items are sorted by type (programs, folders, documents and links).",
ZoomText - Magnification Features,Finders - Desktop Finder,Name,,The Desktop Items are sorted by name.,
ZoomText - Magnification Features,Finders - Desktop Finder,Source,,"The Desktop Items are sorted by source (where the item came from, such as the Programs Folder).",
ZoomText - Magnification Features,Finders - Desktop Finder,Target,,The Desktop Items are sorted by target string (i.e. directory path or URL).,
ZoomText - Magnification Features,Finders - Desktop Finder,Open,,Opens the selected item.,
ZoomText - Magnification Features,Finders - Desktop Finder,Properties,,Displays the properties dialog for the selected item.,
ZoomText - Magnification Features,Finders - Web Finder Highlight Settings,Shape,,"Sets the shape used to highlight the current search word/phrase or web page item: Block, Underline or Frame.",
ZoomText - Magnification Features,Finders - Web Finder Highlight Settings,Color,,Sets the highlight color.,
ZoomText - Magnification Features,Finders - Web Finder Highlight Settings,Thickness,,Sets the thickness of the highlight shape.,
ZoomText - Magnification Features,Finders - Web Finder Highlight Settings,Transparency,,Sets the transparency of the highlight.  ,
ZoomText - Magnification Features,Finders - Web Finder Highlight Settings,Preview,,Displays sample text with a preview of the selected highlight settings.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Search For,,Provides a place for you to type the text you want to search for; or you can select a recent entry from the combo box list.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Search,,Finds and selects the next occurrence of the text specified in the Search For box.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Active window,,Text Finder searches the active application or dialog window for occurrences of the search text.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Entire screen,,Text Finder searches the entire screen for occurrences of the search text.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Top,,ZoomText searches the selected search area from top to bottom.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Bottom,,ZoomText searches the selected search area from bottom to top.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Cursor or focus,,ZoomText starts searching from the cursor position (when a cursor is present) or the control that currently has focus.,
ZoomText - Magnification Features,Finders - Text Finder Settings,Match whole words only,,"When selected, ZoomText searches for occurrences that are whole words and not part of a larger word.",
ZoomText - Magnification Features,Finders - Text Finder Settings,Match case,,"When selected, ZoomText finds only those instances in which the capitalization matches the text typed into the Search For box.",
ZoomText - Magnification Features,Finders - Text Finder Settings,Search text *,,"When an instance of the search text is found, only the search text is spoken.",
ZoomText - Magnification Features,Finders - Text Finder Settings,Entire line *,,"When an instance of the search text is found, the entire line containing the search text is spoken.",
ZoomText - Magnification Features,Finders - Text Finder Settings,Nothing *,,"When an instance of the search text is found, the text is not spoken.",
ZoomText - Magnification Features,Finders - Text Finder Highlight Settings,Shape,,"Sets the shape used to highlight the current search word/phrase or web page item: Block, Underline or Frame.",
ZoomText - Magnification Features,Finders - Text Finder Highlight Settings,Color,,Sets the highlight color.,
ZoomText - Magnification Features,Finders - Text Finder Highlight Settings,Thickness,,Sets the thickness of the highlight shape.,
ZoomText - Magnification Features,Finders - Text Finder Highlight Settings,Transparency,,Sets the transparency of the highlight.  ,
ZoomText - Magnification Features,Finders - Text Finder Highlight Settings,Preview,,Displays sample text with a preview of the selected highlight settings.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Mouse pointer,,Track on the mouse pointer when it moves.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Text cursor,,Track on the text cursor when it moves.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Menus,,Track on highlighted menu items.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Controls,,"Track on controls when they receive focus. Controls include buttons, check boxes, listboxes, etc.",
ZoomText - Magnification Features,Navigation Settings - Tracking,Tool Tips,,Track on tool tips when they appear.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Windows,,Track on windows when they are activated.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Alerts,,Track on alert popups when they appear.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Entire Screen,,Allows activity anywhere on the screen to be tracked.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Inside Area,,Limits tracking to activity inside the defined tracking area. The tracking area can be set by clicking the Set Tracking Area button.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Outside Area,,Limits tracking to activity outside the defined tracking area. The tracking area can be set by clicking the Set Tracking Area button.,
ZoomText - Magnification Features,Navigation Settings - Tracking,Set Tracking Area,,"Activates a tool for setting the Inside and Outside tracking areas (whichever is currently selected). When the tool is activated, a tracking area frame with sizing handles appears on the screen. To size the frame, drag any handle. To move the frame, drag inside the frame. Right-click to exit the to",
ZoomText - Magnification Features,Navigation Settings - Alignment Tab,Within edge margins,,The zoom window scrolls only as needed to bring the tracked object within the edge margins.,
ZoomText - Magnification Features,Navigation Settings - Alignment Tab,Centered within the zoom window,,The zoom window scrolls to keep the tracked object centered in the magnified view.,
ZoomText - Magnification Features,Navigation Settings - Alignment Tab,Edge Margin,,Defines how close to the edge of the zoom window a tracked object can move before the window begins to scroll. The edge margin can be set from 0% (no margin) to 50% (half the width and height of the zoom window).,
ZoomText - Magnification Features,Navigation Settings - Alignment Tab,Smart alignment with parent window,,The zoom window scrolls to bring the tracked control or menu item and the maximum portion of its parent window or menu into view.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Enable smooth panning,,Enables ZoomText’s smooth panning feature.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Panning Speed,,Controls how fast ZoomText pans from one location to another.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Use smooth panning in AppReader,,Enables smooth panning between highlighted words in AppReader.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Enable smooth mouse panning,,Enables ZoomText’s smooth mouse panning feature.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Sensitivity,,Controls the sensitivity of smooth mouse panning when moving the mouse. At lower settings the mouse must be moved further to start panning and to accelerate panning speed.,
ZoomText - Magnification Features,Navigation Settings - Smooth Panning,Wheel click modifiers,,Selects the key combination to be used when clicking the mouse wheel to activate smooth mouse panning. The selected keys must be held down while clicking the mouse wheel.,